 type,census_tract,time_period,avg_income,med_value,public_assistance,no_public_assistance,housing_over_30,under_65,white_alone,bachelor_higher,nonfamily_households,renter_occupied,percent_apartments,moved_post_2000,med_built,gini_index
percent,520.01,2011, , ,0.010088272,0.989911728,0.547288777,0.917699115,0.408628319,0.105444785,0.41740227,0.941992434,0.728247163,0.659520807, , 
count,520.01,2012,14180.00849,251852,28,1529,867,3885,1556,267,702,1493,1139,1116,1975,0.4313
percent,520.01,2012, , ,0.017983301,0.982016699,0.556840077,0.90306834,0.361692236,0.107228916,0.450867052,0.958895311,0.731535003,0.716763006, , 
count,520.01,2013,14186.01939,294525,47,1508,832,4210,1320,304,661,1475,1182,1228,1976,0.4222
percent,520.01,2013, , ,0.03022508,0.96977492,0.535048232,0.913232104,0.286334056,0.121502798,0.425080386,0.948553055,0.760128617,0.789710611, , 
count,520.01,2014,14123.33153,322438,47,1505,805,4261,1348,329,701,1479,1269,563,1977,0.3674
percent,520.01,2014, , ,0.030283505,0.969716495,0.518685567,0.919905009,0.291018998,0.128969032,0.451675258,0.952963918,0.817654639,0.362757732, , 
count,520.01,2015,14653,236000,38,1529,798,3915,909,311,735,1463,1293,831,1978,0.3682
percent,520.01,2015, , ,0.02425016,0.97574984,0.50925335,0.905621096,0.210270645,0.114296215,0.469049138,0.933631142,0.825143586,0.530312699, , 
count,520.02,2010,17560.27132,113285,16,1653,850,4044,595,371,536,660,219,764,1963,0.4362
percent,520.02,2010, , ,0.009586579,0.990413421,0.509286998,0.832270014,0.12245318,0.122401848,0.321150389,0.395446375,0.131216297,0.457759137, , 
count,520.02,2011,15948.10404,112011,12,1695,895,4371,660,388,550,718,164,483,1964,0.4305
percent,520.02,2011, , ,0.007029877,0.992970123,0.524311658,0.843171296,0.127314815,0.127046496,0.322202695,0.420620972,0.096074985,0.282952548, , 
count,520.02,2012,17509.27419,118575,42,1633,888,4600,859,403,522,863,232,662,1966,0.5058
percent,520.02,2012, , ,0.025074627,0.974925373,0.530149254,0.859652401,0.160530742,0.132174483,0.311641791,0.515223881,0.138507463,0.395223881, , 
count,520.02,2013,17306.48476,117539,56,1704,901,4785,1208,529,544,894,239,816,1966,0.468
percent,520.02,2013, , ,0.031818182,0.968181818,0.511931818,0.848404255,0.214184397,0.161872705,0.309090909,0.507954545,0.135795455,0.463636364, , 
count,520.02,2014,16941.48188,118000,67,1712,887,4775,1023,629,584,905,230,350,1966,0.4573
percent,520.02,2014, , ,0.037661608,0.962338392,0.498594716,0.843192654,0.180646301,0.181949667,0.328274311,0.50871276,0.129286116,0.196739741, , 
count,520.02,2015,18105,117700,66,1782,803,5025,1072,644,642,921,227,460,1966,0.447
percent,520.02,2015, , ,0.035714286,0.964285714,0.43452381,0.847243298,0.180745237,0.17150466,0.347402597,0.498376623,0.122835498,0.248917749, , 
count,521.01,2010,21237.71318,144417,82,2517,1227,6276,1325,795,955,962,274,1749,1977,0.429
percent,521.01,2010, , ,0.031550596,0.968449404,0.472104656,0.86985447,0.183645184,0.172901261,0.367449019,0.370142362,0.105425164,0.672951135, , 
count,521.01,2011,20377.83319,141687,122,2523,1302,6639,1033,873,922,1101,364,888,1972,0.451
percent,521.01,2011, , ,0.046124764,0.953875236,0.492249527,0.872060948,0.135688953,0.179334429,0.348582231,0.416257089,0.137618147,0.335727788, , 
count,521.01,2012,20921.63837,139563,91,2514,1254,6298,1059,868,954,1025,333,914,1970,0.445
percent,521.01,2012, , ,0.034932821,0.965067179,0.481381958,0.868689655,0.146068966,0.178600823,0.36621881,0.393474088,0.127831094,0.350863724, , 
count,521.01,2013,18972.05402,128907,84,2647,1345,6818,789,1127,976,1141,329,1050,1972,0.4287
percent,521.01,2013, , ,0.030757964,0.969242036,0.492493592,0.862710363,0.099835506,0.213083759,0.35737825,0.417795679,0.120468693,0.384474551, , 
count,521.01,2014,19528.51947,130828,45,2897,1324,7523,1508,1472,1041,1199,388,749,1976,0.3918
percent,521.01,2014, , ,0.015295717,0.984704283,0.45003399,0.878034547,0.176003735,0.266956837,0.353840925,0.407545887,0.131883073,0.254588715, , 
count,521.01,2015,19956,132300,45,3086,1352,8090,2137,1436,965,1309,419,1047,1979,0.3806
